"","season5","season20","season30","season62","season90","season125","season180","season250","season365","seasonNone"
"m_number_dated_brent",1.10775303287935,1.18597519972263,1.11581008987781,0.99861793043072,1.14887904109482,1.06899961118743,1.1988182036063,1.1541584039552,1.10940889858749,1.10293033315939
"forties",1.22501404684549,1.2761685280978,1.20761610397296,1.12043588111066,1.27514910268477,1.14825261450886,1.40931627138807,1.26544120423509,1.22051307479574,1.2214966272447
"oseberg",0.826689623656863,0.868883602286796,0.79658736424454,0.706805882650571,0.83323841456967,0.867309717978994,0.860658931566905,0.775326114983453,0.739549193633366,0.827653138340679
"ekofisk",0.85440208692767,0.897242645019747,0.880565193171969,0.742608938519581,0.894632334339207,0.863187807239689,0.888948756287348,0.839896335366169,0.624232106126623,0.850420448297454
"troll",0.52588086030267,0.550350140048222,0.516625891054982,0.384205598060199,0.599596514905394,0.609878187872234,0.582097914474525,0.555296379275148,0.46625044275219,0.540211733822003
"north_sea_basket",0.958562573077637,1.00857884998337,0.948567074237563,0.847263060082032,0.986864539837863,0.942726613744394,1.0483337556836,0.966532144074999,0.851804587889075,0.957749936526534
"statfjord",0.178682398003977,0.188273973903023,0.17285847449597,0.101626493059488,0.211238395792748,0.289556704814426,0.186794121575308,0.225791411421152,0.120322192897614,0.193625042959228
"flotta_gold",0.24409222528533,0.220941600859857,0.251398697092027,0.344014992740244,0.260647242518707,0.253182848040085,0.208450738971716,0.272444700524951,0.335085278606371,0.231781870217974
"duc_dansk",0.134086398401986,0.14248443392963,0.14196588502963,0.101453891067125,0.15990524677764,0.238381831325266,0.116149433590461,0.23242691728105,0.115157967873062,0.139998710918612
"grane",0.276468860360609,0.331276093313651,0.0956237121208362,0.15807941741229,0.158298562538107,0.217392124892689,0.163909058766907,0.54457069910616,0.567639448667963,0.260696158817026
"gulfaks",0.298188146051284,0.322096635903191,0.274424767944893,0.192394844433403,0.299528679078508,0.44045213698032,0.328280654553087,0.384997166409077,0.230327408050197,0.316519426245061
"alvheim",0.61546989626974,0.758343909526756,0.62372260117058,0.45682956452699,0.811359263678097,1.21355128308811,1.09529082746284,1.0108772245796,0.280547488471521,0.630238251564837
"asgard",0.629749682276073,0.772622634693468,0.644212157295998,0.463879424492345,0.851941414525066,1.21352827003345,1.08971849894071,1.00703263982615,0.289088000458556,0.648101308923976
"wti_midlands",1.59924531609168,1.58213916571537,1.64517710202399,1.28912551570844,1.72783502710631,1.5204723896163,1.42758766420844,1.75578260006989,1.59321214282628,1.62647903416898
"eagleford_45",1.56965308519005,1.55966261470565,1.62539228815663,1.262406419922,1.7117268450305,1.46954189756453,1.39800715899255,1.7345385828983,1.57892532282701,1.59617738731759
