"","crude","stat","pval"
"1","m_number_dated_brent",-12.5338805997824,0.410545280172053
"2","forties",-12.5852674790662,0.407678630435677
"3","oseberg",-11.5847194850771,0.46349483650177
"4","ekofisk",-11.9102244818823,0.445336333275169
"5","troll",-11.8248007916908,0.450101748151117
"6","north_sea_basket",-12.0916005328256,0.435218154941171
"7","statfjord",-11.6325680491353,0.460825573930177
"8","flotta_gold",-11.9286365047192,0.444309206873505
"9","duc_dansk",-11.1810710339597,0.486012622016487
"10","grane",-11.9681775216008,0.442103386103701
"11","gulfaks",-11.5199134980667,0.467110079695518
"12","alvheim",-7.49334938231139,0.691734519276158
"13","asgard",-7.41761249881067,0.695959549481281
"14","wti_midlands",-6.29823272450904,0.758404861974024
"15","eagleford_45",-6.92876710496822,0.723230100620348
