"","season5","season20","season30","season62","season90","season125","season180","season250","season365","seasonNone"
"m_number_dated_brent",0.672822411555028,0.669703427896252,0.681389392565101,0.689660702674928,0.549653641626664,0.644098515343639,0.63384844745172,1.07294901250989,1.00564288237086,0.638305378268996
"forties",0.778444022405751,0.763257760028903,0.763148047546614,0.798490281327781,0.666388480275734,0.712752662441409,0.816354636157771,1.19666792819043,1.1532313445518,0.745366637726787
"oseberg",0.39839773922066,0.370854514115621,0.373076964553929,0.428802608125689,0.317521916637213,0.41762150468191,0.366360502563156,0.648500007656344,0.65617615481066,0.37607846738989
"ekofisk",0.426393300621967,0.405621009663085,0.43605428746581,0.438496952914412,0.309167864113495,0.41672023091661,0.379192204984033,0.698921407125805,0.560212837197373,0.39649258695289
"troll",0.133099630658147,0.109396706605509,0.128637697385307,0.163725592238401,0.110721915603747,0.183532878751273,0.0909620288883316,0.477373307180061,0.359143406998933,0.121236557959916
"north_sea_basket",0.521890049721007,0.504712336101511,0.506857770190939,0.545719058273276,0.410631072439431,0.487226299406032,0.511442567202701,0.849846508876202,0.78049503209124,0.492196470643127
"statfjord",0.24698917612946,0.285715591928307,0.263668520560998,0.246421480386526,0.303384530514007,0.175445078597225,0.318963877923711,0.214326675386224,0.0770343737750677,0.260109082370111
"flotta_gold",0.661146875921046,0.708633681452008,0.665957413244882,0.659592343827849,0.766606135769077,0.543224154928784,0.672599318593817,0.216314413012376,0.375802002948739,0.677979803855781
"duc_dansk",0.342946348289329,0.372695988886589,0.339127102452904,0.366431198746761,0.392178236529089,0.248020455622481,0.38852976750251,0.153090879410499,0.0968286411859895,0.357533609790559
"grane",0.670336720013613,0.767002236985036,0.480305655504493,0.415759001091465,0.424834484398774,0.38814730282161,0.721168465765753,0.224098843292952,0.625330131495559,0.663016837114692
"gulfaks",0.12062085912096,0.153624172926458,0.133816459205262,0.147296145681565,0.178906429486665,0.0889828342855209,0.16919135727439,0.380635339188481,0.134103724092944,0.134874029032338
"alvheim",0.934620160908405,1.04778840864567,1.01240407927309,0.763125661137421,1.2342075659228,1.68521602198886,1.49858492979748,1.65288463223779,0.206378592203608,0.932340591800543
"asgard",0.950346511019847,1.06274730934263,1.03311569535282,0.776363443743849,1.27184204849777,1.68375438625992,1.48734086177054,1.64440195050853,0.228275771174119,0.951002670665821
"wti_midlands",1.78650964452326,1.76652698986855,1.86461555519756,1.4596961800179,1.97135093010278,1.72945952297232,1.72417943640142,2.01364096622657,1.68796422575445,1.79666009154542
"eagleford_45",1.75658269627133,1.74235199530289,1.84313534736131,1.43374609753257,1.95204026252953,1.67942681913608,1.69408209270626,1.99275140964518,1.68392118132213,1.76886025038393
