"","season5","season20","season30","season62","season90","season125","season180","season250","season365","season"
"m_number_dated_brent",1.3938333268168,1.51193381016848,1.43661179052018,1.27902267142377,1.45352599117677,1.38578322490077,1.50720795903625,1.57556547134102,1.41480178870476,2.88524372386482
"forties",1.51866455566963,1.60612187144327,1.53378292627014,1.40039988323758,1.58078570519971,1.45628131253389,1.73450742780036,1.65905862362017,1.55417444725753,2.79599341997514
"oseberg",1.07985115331143,1.15150656096785,1.07819494652541,0.963234436622861,1.09236083679493,1.13357414935662,1.10817432463185,1.14081394817176,1.00569239248834,3.08204025877776
"ekofisk",1.10373304709439,1.18387098698971,1.15802527032122,0.985750663651152,1.16374861417102,1.14006304771443,1.14605596781513,1.20508193830622,0.895985857310077,3.07703770837604
"troll",0.816349612197146,0.866375412615299,0.840660347262381,0.657658838974647,0.908488041483592,0.927450706509487,0.854523106968698,0.924349936707799,0.762647901766177,3.34116604646681
"north_sea_basket",1.22973654770525,1.31318324691901,1.24930832336492,1.11282346455835,1.27128409469962,1.22832047264126,1.33236377275107,1.34762656912606,1.1496984492674,2.99615903031376
"statfjord",0.42115706512274,0.459778601030498,0.437246707248352,0.3056400718539,0.464446501680169,0.582019792175115,0.412327707320248,0.569706125574961,0.35693330819645,3.70203396046143
"flotta_gold",0.240272870481017,0.261075150153056,0.252146683121373,0.2055282410583,0.214778788116788,0.360406805426188,0.208717583346583,0.37676010424003,0.210893235236183,4.03000560437684
"duc_dansk",0.388273906721804,0.448437159136023,0.427123209083377,0.225241920318993,0.442548894689789,0.555984005052354,0.374608939919585,0.539421229475686,0.32650716818948,3.75579436275425
"grane",0.366325211319527,0.496158492454532,0.244232880762008,0.263906690621485,0.107277755835087,0.0930052986111995,0.35096163887961,0.261523977954264,0.862755858088637,4.01482358249626
"gulfaks",0.615686424288032,0.660224473067843,0.631874168776572,0.497125559136922,0.626655589539153,0.79464725084236,0.618035763916717,0.792273930919286,0.563989653532086,3.50112953709792
"alvhiem",1.08505824134572,1.27420350772765,1.16068623536622,0.901409169229037,1.30519849809563,1.82175588349724,1.55730059482589,1.72934432475352,0.710735823210116,3.63111981701876
"asgard",1.09766693390556,1.28720301893778,1.17814224711494,0.908126749073912,1.34271071139461,1.82622234024197,1.54480540423026,1.73197048227436,0.740364570722119,3.62733557909085
"wti_midlands",2.38210671039268,2.41360047963694,2.48289937123477,2.04435233117496,2.52782711063083,2.26010689372113,2.16836991562859,2.61394721257723,2.21160840769477,3.55701849199149
"eagleford_45",2.3241672184374,2.36322980478831,2.43379386377195,1.99242721321915,2.48062370373134,2.17763373699633,2.1076617657907,2.56496033568055,2.1808128156397,3.50416620299732
